solar date,weekly methanol
1396/01/23, 300 
1396/01/31, 277 
1396/02/07, 280 
1396/02/14, 269 
1396/02/22, 259 
1396/02/29, 262 
1396/03/06, 264 
1396/03/13, 261 
1396/03/20, 264 
1396/03/27, 265 
1396/04/03, 278 
1396/04/10, 275 
1396/04/17, 279 
1396/04/24, 281 
1396/04/31, 284 
1396/05/07, 277 
1396/05/14, 280 
1396/05/21, 285 
1396/05/28, 287 
1396/06/04, 300 
1396/06/11, 316 
1396/06/18, 343 
1396/06/25, 360 
1396/07/01, 348 
1396/07/08, 337 
1396/07/22, 337 
1396/07/29, 334 
1396/08/06, 340 
1396/08/13, 339 
1396/08/20, 343 
1396/08/27, 360 
1396/09/04, 370.20 
1396/09/11, 375 
1396/09/18, 386 
1396/09/25, 405 
1396/10/02, 416 
1396/10/16, 412 
1396/10/23, 416 
1396/10/30, 401 
1396/11/07, 398 
1396/11/14, 394 
1396/11/21, 388 
1396/11/28, 384 
1396/12/05, 382 
1396/12/11, 382 
1396/12/18, 368 
1396/12/27, 368 
1397/01/09, 371 
1397/01/19, 366 
1397/01/24, 372 
1397/01/31, 382 
1397/02/09, 389 
1397/02/14, 398 
1397/02/21, 405 
1397/02/30, 415 
1397/03/06, 409 
1397/03/11, 409 
1397/03/20, 406 
1397/03/25, 400 
1397/04/03, 398 
1397/04/10, 398 
1397/04/15, 398 
1397/04/24, 391 
1397/04/30, 386 
1397/05/07, 390 
1397/05/12, 396 
1397/05/19, 396 
1397/05/28, 396 
1397/06/02, 398 
1397/06/09, 399 
1397/06/16, 399 
1397/06/23, 402 
1397/06/30, 405 
1397/07/06, 410 
1397/07/13, 411 
1397/07/20, 419 
1397/07/27, 424 
1397/08/02, 422 
1397/08/18, 379 
1397/08/25, 335 
1397/09/2, 306 
1397/09/09, 278 
1397/09/18, 278 
1397/09/23, 264 
1397/09/30, 268 
1397/10/14, 272 
1397/10/21, 269 
1397/10/27, 275 
1397/11/05, 278 
1397/11/12, 291 
1397/11/19, 292 
1397/11/26, 285 
1397/12/03, 285 
1397/12/14, 287 
1397/12/17, 297 
1397/12/24, 305 
1398/01/02, 300 
1398/01/16, 294 
1398/01/23, 299 
1398/1/30, 290 
1398/2/6, 284 
1398/2/13, 279 
1398/2/20, 281 
1398/2/27, 279 
1398/3/3, 280 
1398/3/10, 276 
1398/3/17, 264 
1398/3/24, 264 
1398/3/31, 267 
1398/4/7, 266 
1398/4/14, 265 
1398/4/21, 261 
1398/4/28, 252 
1398/5/4, 239 
1398/06/08, 227 
1398/06/17, 224 
1398/06/22, 231 
1398/06/29, 235 
1398/07/08, 241 
1398/07/16, 242 
1398/07/24, 235 
1398/08/01, 229 
1398/08/10, 227 
1398/08/17, 225 
1398/08/24, 217 
1398/09/01, 212 
1398/09/08, 212 
1398/09/15, 214 
